city,service,price,phone,rating,features
New York,Plumbing,299,555-0101,4.8,"24/7 Emergency Service|Licensed & Insured|5-Year Warranty|Free Estimates"
Los Angeles,Electrical,399,555-0102,4.9,"Same Day Service|Free Estimates|Certified Electricians|Safety Guaranteed"
Chicago,HVAC,499,555-0103,4.7,"Energy Efficient|Expert Installation|Maintenance Plans|24/7 Support"
Houston,Roofing,599,555-0104,4.6,"Storm Damage Repair|Free Inspection|Licensed Contractors|10-Year Warranty"
Phoenix,Landscaping,199,555-0105,4.8,"Custom Designs|Irrigation Systems|Seasonal Maintenance|Eco-Friendly"
Philadelphia,Painting,349,555-0106,4.9,"Interior & Exterior|Color Consultation|Quality Materials|Satisfaction Guaranteed"
San Antonio,Flooring,449,555-0107,4.7,"Hardwood Installation|Carpet Cleaning|Tile Work|Free Samples"
San Diego,Pool Service,279,555-0108,4.8,"Weekly Cleaning|Chemical Balance|Equipment Repair|Affordable Rates"
Dallas,Window Cleaning,159,555-0109,4.6,"Residential & Commercial|High-Rise Specialists|Eco-Friendly Products|Insured"
San Jose,Pest Control,249,555-0110,4.9,"Safe for Pets|Same Day Service|Guaranteed Results|Licensed Technicians"
